metric,n_early,baseline,family,pinn,base,delta,ci_lo,ci_hi,wilcoxon_p,favours_pinn
Within_100,100,XGBoost,classical,0.6155066666666666,0.46832,-0.14718666666666666,-0.17763999999999994,-0.0744866666666666,0.03125,True
Within_100,150,PINN_UQ,deep-learning,0.6518466666666667,0.60918,-0.04266666666666663,-0.11535999999999993,0.005386666666666651,0.21875,False
Within_100,150,Pure_NN,deep-learning,0.6518466666666667,0.56152,-0.09032666666666662,-0.13457333333333327,-0.03424666666666663,0.0625,True
Within_100,150,Ensemble_NN,deep-learning,0.6518466666666667,0.5944666666666667,-0.05737999999999999,-0.11242000000000005,0.004993333333333361,0.09375,False
Within_100,150,Neural_ODE,deep-learning,0.6518466666666667,0.5799266666666667,-0.07192000000000001,-0.12903333333333333,-0.01730666666666676,0.0625,True
Within_100,150,LSTM,deep-learning,0.6518466666666667,0.32062,-0.3312266666666666,-0.43708,-0.18076666666666666,0.03125,True
Within_100,150,GRU,deep-learning,0.6518466666666667,0.32062,-0.3312266666666666,-0.4370799999999999,-0.1807666666666666,0.03125,True
Within_100,150,Bayesian_LSTM,deep-learning,0.6518466666666667,0.32062,-0.3312266666666666,-0.4370799999999999,-0.17712,0.03125,True
Within_100,150,Transformer,deep-learning,0.6518466666666667,0.33014,-0.32170666666666664,-0.43218666666666666,-0.14856000000000003,0.03125,True
Within_100,150,Informer,deep-learning,0.6518466666666667,0.33014,-0.32170666666666664,-0.43218666666666666,-0.14856000000000003,0.03125,True
Within_100,150,PatchTST,deep-learning,0.6518466666666667,0.33014,-0.32170666666666664,-0.43218666666666666,-0.15220666666666666,0.03125,True
Within_100,150,GaussianProcess,classical,0.6518466666666667,0.63978,-0.01206666666666667,-0.04474,0.019033333333333256,0.15625,False
Within_100,150,RandomForest,classical,0.6518466666666667,0.5430400000000001,-0.10880666666666663,-0.13904,-0.08027999999999999,0.03125,True
Within_100,150,XGBoost,classical,0.6518466666666667,0.51646,-0.13538666666666666,-0.21303999999999995,-0.08407999999999992,0.03125,True
