split_seed,fold,n_early,model,MAE,MedianAE,Within_50
102,2,150,XGBoost,130.33,76.22,0.3333
102,3,50,PINN_Knee,181.92,131.16,0.2174
102,3,50,RandomForest,126.86,113.25,0.3913
102,3,50,PINN_UQ,132.82,84.37,0.2609
102,3,50,Ensemble_NN,190.11,123.74,0.2174
102,3,50,Pure_NN,190.11,123.74,0.2174
102,3,50,GaussianProcess,378.63,245.93,0.087
102,3,50,Neural_ODE,215.22,127.46,0.2609
102,3,50,XGBoost,132.5,110.44,0.3478
102,3,100,PINN_Knee,123.2,80.69,0.3333
102,3,100,RandomForest,110.46,84.22,0.2857
102,3,100,PINN_UQ,129.96,106.56,0.3333
102,3,100,Ensemble_NN,126.88,125.15,0.2381
102,3,100,Pure_NN,126.88,125.15,0.2381
102,3,100,GaussianProcess,251.52,239.51,0.0952
102,3,100,Neural_ODE,130.83,105.92,0.1429
102,3,100,XGBoost,160.29,125.54,0.2381
102,3,150,PINN_Knee,104.97,65.75,0.4762
102,3,150,RandomForest,98.01,83.37,0.381
102,3,150,PINN_UQ,119.29,122.06,0.2381
102,3,150,Ensemble_NN,129.2,101.02,0.2381
102,3,150,Pure_NN,129.2,101.02,0.2381
102,3,150,GaussianProcess,351.4,218.56,0.1905
102,3,150,Neural_ODE,150.23,138.02,0.2381
102,3,150,XGBoost,120.32,133.84,0.381
102,4,50,PINN_Knee,293.21,243.66,0.1304
102,4,50,RandomForest,287.45,288.66,0.1739
102,4,50,PINN_UQ,270.38,234.39,0.2174
102,4,50,Ensemble_NN,278.68,264.43,0.1304
102,4,50,Pure_NN,278.68,264.43,0.1304
102,4,50,GaussianProcess,432.58,452.0,0.0435
102,4,50,Neural_ODE,271.56,230.55,0.1739
102,4,50,XGBoost,311.31,314.96,0.1739
102,4,100,PINN_Knee,296.07,251.02,0.1905
102,4,100,RandomForest,219.48,200.09,0.2381
102,4,100,PINN_UQ,274.91,208.47,0.1905
102,4,100,Ensemble_NN,260.46,206.87,0.0952
102,4,100,Pure_NN,260.46,206.87,0.0952
102,4,100,GaussianProcess,442.51,392.7,0.0476
102,4,100,Neural_ODE,242.48,183.35,0.1905
102,4,100,XGBoost,221.5,140.29,0.1429
102,4,150,PINN_Knee,243.35,146.2,0.2
102,4,150,RandomForest,206.26,136.43,0.25
102,4,150,PINN_UQ,234.6,81.99,0.25
102,4,150,Ensemble_NN,252.34,103.5,0.25
102,4,150,Pure_NN,252.34,103.5,0.25
102,4,150,GaussianProcess,310.34,320.73,0.1
102,4,150,Neural_ODE,207.33,137.28,0.35
102,4,150,XGBoost,251.1,232.65,0.2
103,0,50,PINN_Knee,179.34,102.7,0.25
103,0,50,RandomForest,203.18,116.25,0.2917
103,0,50,PINN_UQ,200.04,122.58,0.1667
103,0,50,Ensemble_NN,206.23,131.14,0.1667
103,0,50,Pure_NN,206.23,131.14,0.1667
103,0,50,GaussianProcess,387.68,311.95,0.125
103,0,50,Neural_ODE,190.4,113.87,0.3333
103,0,50,XGBoost,220.06,127.32,0.2917
103,0,100,PINN_Knee,158.44,88.52,0.3478
103,0,100,RandomForest,148.87,77.48,0.4348
103,0,100,PINN_UQ,196.86,119.95,0.087
